Ticker,Current Price,Open Price,Previous Close,Day High,Day Low,52W High,52W Low,Circuit Status,Circuit Event,Promoter Holding,FII Holding,DII Holding,Public Holding
RELIANCE.NS,1528.4,1500.6,1500.6,1531.4,1500.1,1608.8,1114.85,---,Normal,N/A,N/A,N/A,N/A
TCS.NS,3429.7,3455.0,3462.0,3485.0,3413.5,4592.25,3056.05,---,Normal,N/A,N/A,N/A,N/A
INFY.NS,1606.8,1609.0,1601.8,1617.7,1600.5,2006.45,1307.0,---,Normal,N/A,N/A,N/A,N/A
